date,title,summary,url,source,text_for_nlp,is_tesla_related,is_musk_related
2023-01-23 00:00:00,Lawyers press Elon Musk in second day on witness stand over failed Tesla take-private deal,"Tesla CEO Elon Musk told a jury Monday in San Francisco that he was merely considering taking Tesla private when he tweeted in 2018 that he had ""secured"" funding to do so — and that the funding was going to come in part from his stake in SpaceX, Musk's rocket company.",https://www.nbcnews.com/business/business-news/tesla-shareholders-lawsuit-elon-musk-testimony-what-happened-rcna66986,NBC,"Lawyers press Elon Musk in second day on witness stand over failed Tesla take-private deal Tesla CEO Elon Musk told a jury Monday in San Francisco that he was merely considering taking Tesla private when he tweeted in 2018 that he had ""secured"" funding to do so — and that the funding was going to come in part from his stake in SpaceX, Musk's rocket company.",1,1
2023-01-23 18:17:41,Elon Musk Says He Could Have Raised Funds to Take Tesla Private,Mr. Musk testified in a lawsuit filed by investors who claim his 2018 statements about a plan to buy up the carmaker’s stock cost them billions.,https://www.nytimes.com/2023/01/23/business/elon-musk-tesla-trial.html,NYT,Elon Musk Says He Could Have Raised Funds to Take Tesla Private Mr. Musk testified in a lawsuit filed by investors who claim his 2018 statements about a plan to buy up the carmaker’s stock cost them billions.,1,1
2023-01-24 22:14:09,Elon Musk Said Tesla Buyout Plan Didn’t Involve ‘a Specific Number’,"Under questioning, Mr. Musk said he hadn’t discussed how much money investors would put in to help him take his car company private.",https://www.nytimes.com/2023/01/24/business/elon-musk-tesla-trial.html,NYT,"Elon Musk Said Tesla Buyout Plan Didn’t Involve ‘a Specific Number’ Under questioning, Mr. Musk said he hadn’t discussed how much money investors would put in to help him take his car company private.",1,1
2023-01-24 23:03:18,Tesla Will Build Heavy Trucks at a New Factory in Nevada,"The $3.6 billion investment, which also includes a new battery factory, presents a challenge to traditional truck makers that have been slow to sell electric vehicles.",https://www.nytimes.com/2023/01/24/business/tesla-truck-factory-nevada.html,NYT,"Tesla Will Build Heavy Trucks at a New Factory in Nevada The $3.6 billion investment, which also includes a new battery factory, presents a challenge to traditional truck makers that have been slow to sell electric vehicles.",1,0
2023-01-25 00:00:00,Elon Musk's Twitter faces censorship allegations in India free speech battle,Elon Musk is facing allegations of complying with state censorship after Twitter appeared to take sides with India’s government in a turbulent free speech fight.,https://www.nbcnews.com/tech/social-media/modi-twitter-bbc-musk-elon-documentary-watch-video-rcna67497,NBC,Elon Musk's Twitter faces censorship allegations in India free speech battle Elon Musk is facing allegations of complying with state censorship after Twitter appeared to take sides with India’s government in a turbulent free speech fight.,0,1
2023-01-25 21:18:41,Tesla’s Profit Jumped 12% in Fourth Quarter,"The electric car company is facing intensifying competition, supply chain disruptions and concerns about the behavior of Elon Musk.",https://www.nytimes.com/2023/01/25/business/tesla-earnings-fourth-quarter-2022.html,NYT,"Tesla’s Profit Jumped 12% in Fourth Quarter The electric car company is facing intensifying competition, supply chain disruptions and concerns about the behavior of Elon Musk.",1,1
2023-01-26 12:36:32,Tesla Bulls Are Back at the Wheel,"Shares in the electric carmaker continued to rally after the company reported strong profits, even amid growing competition and economic pressures.",https://www.nytimes.com/2023/01/26/business/tesla-profit-stock.html,NYT,"Tesla Bulls Are Back at the Wheel Shares in the electric carmaker continued to rally after the company reported strong profits, even amid growing competition and economic pressures.",1,0
2023-01-27 00:00:00,Elon Musk meets with House Republicans,,https://www.nbcnews.com/now/video/elon-musk-meets-with-house-republicans-161952837597,NBC,Elon Musk meets with House Republicans,0,1
2023-01-27 12:59:28,Mr. Musk Goes to Washington,"Elon Musk, the billionaire owner of Twitter, met with House Speaker Kevin McCarthy, stoking speculation about what the two had discussed.",https://www.nytimes.com/2023/01/27/business/dealbook/musk-mccarthy-twitter.html,NYT,"Mr. Musk Goes to Washington Elon Musk, the billionaire owner of Twitter, met with House Speaker Kevin McCarthy, stoking speculation about what the two had discussed.",0,1
2023-01-30 00:00:00,"Ford cuts prices on electric Mustang Mach-E, following Tesla’s lead","DETROIT — Ford Motor is increasing production and cutting prices of its electric Mustang Mach-E crossover, weeks after industry leader Tesla announced similar plans for its EVs.",https://www.nbcnews.com/business/autos/ford-cuts-prices-electric-mustang-mach-e-teslas-lead-rcna68176,NBC,"Ford cuts prices on electric Mustang Mach-E, following Tesla’s lead DETROIT — Ford Motor is increasing production and cutting prices of its electric Mustang Mach-E crossover, weeks after industry leader Tesla announced similar plans for its EVs.",1,0
