title,url,date_text,summary,date
Tesla stock falls as investor day falls short on specifics,https://www.nbcnews.com/tech/tech-news/tesla-stock-falls-investor-day-falls-short-specifics-rcna73066,"Mar 02, 2023","Electric vehicle maker Tesla hosted a 2023 investor day presentation in Austin, Texas, on Wednesday.",2023-03-02
Past business partner of influencer who led $1 million coronavirus con said she 'terrifies' him,https://www.nbcnews.com/news/us-news/business-partner-influencer-led-1-million-coronavirus-con-said-terrifi-rcna73839,"Mar 08, 2023",A social media influencer pleaded guilty this week to using more than $1 million in pandemic relief funds to pay for a lavish lifestyle that she flaunted online.,2023-03-08
Feds investigating Tesla over complaints that steering wheels are falling off while driving,https://www.nbcnews.com/business/autos/feds-investigating-tesla-complaints-steering-wheels-are-falling-drivin-rcna73935,"Mar 08, 2023",U.S. auto safety regulators have opened an investigation into Tesla’s Model Y SUV after getting two complaints that the steering wheels can come off while being driven.,2023-03-08
Two Canadian motorists unknowingly open wrong Teslas and are allowed to drive away,https://www.nbcnews.com/news/us-news/canadian-motorist-unknowingly-opens-wrong-tesla-allowed-drive-away-rcna74872,"Mar 14, 2023","A pair of Canadian Tesla owners accidentally climbed into the wrong cars before their apps allowed them to drive away in lookalike vehicles, they said Tuesday.",2023-03-14
"Driver accidentally unlocks, drives Tesla after mistaking it for his own",https://www.nbcnews.com/now/video/driver-accidentally-unlocks-drives-tesla-after-mistaking-it-for-his-own-165203525682,"Mar 14, 2023",,2023-03-14
Accusations of hypocrisy and threats of legal action cloud tech industry after SVB collapse,https://www.nbcnews.com/tech/tech-news/svb-failure-tech-industry-blamed-collapse-rcna74633,"Mar 15, 2023","After Silicon Valley Bank (SVB) collapsed, the tech industry got what it wanted when the government committed to back the bank's depositors. But at what price?",2023-03-15
Twitter celebs balk at paying Elon Musk for their blue check marks,https://www.nbcnews.com/tech/tech-news/twitter-celebs-balk-paying-elon-musk-blue-check-mark-rcna76968,"Mar 28, 2023","William Shatner, Monica Lewinsky and other prolific Twitter commentators could soon be losing the blue check marks that helped verify their identity on the social media platform.",2023-03-28
Feds launch investigation into Tesla seat belt parts,https://www.nbcnews.com/business/autos/tesla-seat-belt-investigation-nhtsa-rcna76989,"Mar 28, 2023",The National Highway Transportation Safety Administration has launched an investigation into seat belt parts on 2022 to 2023 Tesla Model X SUVs.,2023-03-28
"Leading technologists call for a 6-month pause in training advanced AI, warning of doomsday scenarios",https://www.nbcnews.com/tech/tech-news/elon-musk-several-technologists-call-pause-training-ai-systems-rcna77156,"Mar 29, 2023","A group of technology industry executives and academics have signed an open letter calling for at least a six-month pause on large, open experiments with artificial intelligence.",2023-03-29
Tesla ordered to pay more than $3 million in damages over racially hostile workplace,https://www.nbcnews.com/business/business-news/tesla-ordered-pay-3-million-damages-racially-hostile-workplace-rcna78029,"Apr 03, 2023","A San Francisco federal jury has ordered Tesla to pay $3 million in punitive damages and $175,000 in economic damages to Owen Diaz, a former elevator operator at the company’s factory in Fremont, California, after he endured a racially hostile work environment during his time at the company.",2023-04-03
"Wisconsin, Chicago races have a lot to teach us if we can take our eyes off Trump",https://www.nbcnews.com/meet-the-press/first-read/potential-lessons-wisconsin-chicago-races-can-take-eyes-trump-rcna78075,"Apr 04, 2023","Former President Donald Trump's indictment will dominate Tuesday's news, but elections in Wisconsin and Chicago could hold key lessons about today's politics.",2023-04-04
Tesla workers shared sensitive images recorded by customer cars,https://www.nbcnews.com/business/business-news/tesla-workers-shared-sensitive-images-recorded-by-customer-cars-rcna78502,"Apr 06, 2023",Tesla assures its millions of electric car owners that their privacy “is and will always be enormously important to us.”,2023-04-06
Bloomberg plans to integrate GPT-style AI into its terminal,https://www.nbcnews.com/business/business-news/bloomberg-plans-integrate-gpt-style-terminal-rcna79507,"Apr 13, 2023","Bloomberg has developed an AI model using the same technology as OpenAI’s GPT, and plans to integrate it into features delivered through its terminal software.",2023-04-13
Ford F-150 Lightning electric truck fire highlights a growing EV risk,https://www.nbcnews.com/business/consumer/ford-f-150-lightning-electric-truck-fire-highlights-growing-ev-risk-rcna80611,"Apr 20, 2023",New video footage of a fire involving a Ford F-150 Lightning this year highlights a growing concern around electric vehicles: volatile fires from the batteries that power them.,2023-04-20
Elon Musk’s Twitter drops government-funded media labels,https://www.nbcnews.com/tech/social-media/elon-musks-twitter-drops-government-funded-media-labels-rcna80811,"Apr 21, 2023",Twitter has removed labels describing global media organizations as government-funded or state-affiliated.,2023-04-21
California jury finds Tesla Autopilot did not fail in crash case,https://www.nbcnews.com/business/business-news/california-jury-finds-tesla-autopilot-not-fail-crash-case-rcna80902,"Apr 21, 2023","A California state court jury on Friday handed Tesla a sweeping win, finding that the car maker’s Autopilot feature did not fail to perform safely in what appears to be the first trial related to a crash involving the partially automated driving software.",2023-04-21
"GM to end production of electric Chevy Bolt, its first mass-market EV, this year",https://www.nbcnews.com/business/business-news/chevy-bolt-discontinued-gm-will-end-production-later-this-year-2023-rcna81319,"Apr 25, 2023","General Motors plans to end production of its electric Chevrolet Bolt models by the end of this year, CEO Mary Barra told investors Tuesday when discussing the company’s first-quarter earnings.",2023-04-25
Elon Musk meets with Sen. Schumer to discuss artificial intelligence,https://www.nbcnews.com/politics/congress/elon-musk-meets-schumer-discuss-artificial-intelligence-rcna81696,"Apr 26, 2023",Elon Musk visited Capitol Hill on Wednesday to meet with Senate Majority Leader Chuck Schumer for a discussion that focused on artificial intelligence.,2023-04-26
One killed in shooting at Colorado Tesla charging station,https://www.nbcnews.com/video/one-killed-in-shooting-at-colorado-tesla-charging-station-172748357534,"May 04, 2023",,2023-05-04
Tesla driver fatally shot in fight at Denver charging station,https://www.nbcnews.com/news/us-news/tesla-driver-fatally-shot-fight-denver-charging-station-rcna82836,"May 04, 2023","A fight at an electric vehicle charging station in suburban Denver escalated into a fatal shooting that killed a Tesla driver and put another man in custody, authorities said.",2023-05-04
Elon Musk says he's hired a new CEO for Twitter and will reduce his own role,https://www.nbcnews.com/tech/tech-news/elon-musk-says-hired-new-ceo-twitter-will-reduce-role-rcna84038,"May 11, 2023",Twitter owner Elon Musk said Thursday he has hired a new CEO to run the social media platform.,2023-05-11
China says Tesla to fix software for 1.1 million vehicles with braking issue,https://www.nbcnews.com/business/autos/china-says-tesla-fix-software-11-million-cars-braking-issue-rcna84137,"May 12, 2023",China’s market regulator said Tesla Inc.,2023-05-12
"Elon Musk still needs 'Twitter sitter,' judges rule",https://www.nbcnews.com/business/business-news/elon-musk-still-needs-twitter-sitter-judges-rule-rcna84504,"May 15, 2023",Tesla CEO Elon Musk lost an appeal to unwind parts of a consent decree that he and the automaker struck with the Securities and Exchange Commission to settle civil securities fraud charges in 2018.,2023-05-15
Self-driving bus starts taking passengers in U.K. trial,https://www.nbcnews.com/news/world/self-driving-bus-starts-taking-passengers-uk-first-rcna84386,"May 16, 2023","A self-driving bus service has started taking passengers in Edinburgh, Scotland, a U.K. first as part of a trial of autonomous driving technology.",2023-05-16
Elon Musk to be subpoenaed for documents in Virgin Islands' Epstein lawsuit against JPMorgan,https://www.nbcnews.com/business/business-news/elon-musk-subpoenaed-documents-virgin-islands-epstein-lawsuit-jpmorgan-rcna84612,"May 16, 2023","The U.S. Virgin Islands issued a subpoena to Tesla CEO Elon Musk seeking documents for that government’s lawsuit against JPMorgan Chase over sex trafficking by the bank’s late longtime customer Jeffrey Epstein, a court filing revealed Monday.",2023-05-16
